"Series","Name","Sales"
"Minecraft","Minecraft","33.00"
"Diablo","Diablo III","20.00"
"Warcraft","World of Warcraft","14.00"
"Half-Life","Half-Life 2","12.00"
"The Witcher","The Witcher 3: Wild Hunt","12.00"
"StarCraft","StarCraft","11.00"
"The Sims","The Sims","11.00"
"RollerCoaster Tycoon","RollerCoaster Tycoon 3","10.00"
"Civilization","Civilization V","8.00"
"Truck Simulator","Euro Truck Simulator 2","6.50"
"Guild Wars","Guild Wars","6.00"
"ARMA","ARMA 3","5.50"
"The Last Ninja","Last Ninja 2","5.50"
"SimCity","SimCity 3000","5.00"
"Populous","Populous","4.00"
"Warhammer","Warhammer 40,000: Dawn of War (including expansions)","4.00"
"Carmen Sandiego","Where in the World Is Carmen Sandiego?","4.00"
"Dark Souls","Dark Souls","3.60"
"Age of Empires","Age of Empires","3.00"
"Command & Conquer","Command & Conquer","3.00"
"Command & Conquer","Command & Conquer: Red Alert","3.00"
"Crysis","Crysis","3.00"
"EverQuest","EverQuest","3.00"
"Life Is Strange","Life Is Strange","3.00"
"Theme Park","Theme Park","3.00"
"Caesar","Caesar II","2.50"
"Caesar","Caesar III","2.50"
"Lord of the Realm","Lords of the Realm II","2.50"
"Myst","Myst","2.50"
"Final Fantasy","Final Fantasy VII","2.10"
"7 Days","7 Days to Die","2.00"
"Anno","Anno 1503","2.00"
"Anno","Anno 1602","2.00"
"Baldur's Gate","Baldur's Gate","2.00"
"Baldur's Gate","Baldur's Gate II: Shadows of Amn","2.00"
"Battlefield","Battlefield 1942","2.00"
"Black & White","Black & White","2.00"
"Cossacks","Cossacks II: Napoleonic Wars","2.00"
"Counter-Strike","Counter-Strike: Condition Zero","2.00"
"Counter-Strike","Counter-Strike: Source","2.00"
"Doom","Doom","2.00"
"Doom","Doom II: Hell on Earth","2.00"
"Far Cry","Far Cry","2.00"
"Grand Theft Auto","Grand Theft Auto V","2.00"
"Mafia","Mafia: The City of Lost Heaven","2.00"
"Neverwinter Nights","Neverwinter Nights","2.00"
"POD","POD","2.00"
"Spore","Spore","2.00"
"Stronghold","Stronghold: Crusader","2.00"
"Metal Gear Solid","Metal Gear Solid V: The Phantom Pain","1.80"
"Trucks Simulator","American Truck Simulator","1.50"
"International Karate","International Karate","1.50"
"Sega Mega Drive and Genesis Classics","Sega Mega Drive and Genesis Classics","1.50"
"Resident Evil","Resident Evil 6","1.30"
"Street Fighter","Ultra Street Fighter IV","1.30"
"Nier","Nier: Automata","1.20"
"Pac-Man","Pac-Man Championship Edition DX+","1.10"
"Alice","American McGee's Alice","1.00"
"Ark: Survival Evolved","Ark: Survival Evolved","1.00"
"BioShock","BioShock","1.00"
"Commandos","Commandos: Behind Enemy Lines","1.00"
"Crusader Kings","Crusader Kings II","1.00"
"Crusader Kings","Crusader Kings III","1.00"
"Danganronpa","Danganronpa 2: Goodbye Despair","1.00"
"Danganronpa","Danganronpa: Trigger Happy Havoc","1.00"
"Police Quest","Daryl F. Gates' Police Quest: SWAT","1.00"
"Deer Hunter","Deer Hunter","1.00"
"Divinity","Divinity: Original Sin II","1.00"
"Duke Nukem","Duke Nukem 3D","1.00"
"Dungeon Siege","Dungeon Siege","1.00"
"Empire Earth","Empire Earth","1.00"
"Europa Universalis","Europa Universalis IV","1.00"
"Frogger","Frogger","1.00"
"Grand Prix","Grand Prix 2","1.00"
"Harry Potter","Harry Potter and the Philosopher's Stone","1.00"
"Hearts of Iron","Hearts of Iron IV","1.00"
"Hidden & Dangerous","Hidden & Dangerous","1.00"
"Hidden & Dangerous","Hidden & Dangerous 2","1.00"
"Hydlide","Hydlide","1.00"
"Microsoft Flight Simulator","Microsoft Flight Simulator X","1.00"
"The Patrician","Patrician III: Rise of the Hanse","1.00"
"Phantasmagoria","Phantasmagoria","1.00"
"Psychonauts","Psychonauts","1.00"
"Quake","Quake","1.00"
"Quake","Quake II","1.00"
"Railroad Tycoon","Railroad Tycoon II","1.00"
"Wolfenstein","Return to Castle Wolfenstein","1.00"
"Zork","Return to Zork","1.00"
"RoboCop","RoboCop","1.00"
"Total War","Rome: Total War","1.00"
"Runaway","Runaway: A Road Adventure","1.00"
"Sacred","Sacred","1.00"
"Star Wars","Star Wars Galaxies","1.00"
"Star Wars","Star Wars: Rebel Assault","1.00"
"Total Annihilation","Supreme Commander","1.00"
"Tetris","Tetris","1.00"
"The Legend of Sword and Fairy","The Legend of Sword and Fairy 3","1.00"
"The Legend of Sword and Fairy","The Legend of Sword and Fairy 5","1.00"
"Total Annihilation","Total Annihilation","1.00"
"Tropico","Tropico","1.00"
"Unreal","Unreal","1.00"
"Unreal","Unreal Tournament","1.00"
"Vietcong","Vietcong","1.00"
"Wing Commander","Wing Commander 3: Heart of the Tiger","1.00"
"Zoo Tycoon","Zoo Tycoon","1.00"
