"Genre","average_sales"
"Sandbox, survival","33.0000000000000000"
"Battle royale","26.0000000000000000"
"Sandbox","20.0000000000000000"
"Life simulation","8.0000000000000000"
"Action-adventure","5.2833333333333333"
"MMORPG","5.0000000000000000"
"Survival","5.0000000000000000"
"Action role-playing","4.8416666666666667"
"Educational","4.0000000000000000"
"Vehicle simulation","4.0000000000000000"
"Turn-based strategy, 4X","3.5000000000000000"
"City-building","3.0000000000000000"
"Construction and management simulation","2.8666666666666667"
"God game","2.6666666666666667"
"Tactical shooter","2.5000000000000000"
"Turn-based strategy","2.5000000000000000"
"Adventure, puzzle","2.5000000000000000"
"First-person shooter","2.4210526315789474"
"Real-time strategy","2.2916666666666667"
"Computer role-playing game","2.0000000000000000"
"Simulation","2.0000000000000000"
"Racing game","2.0000000000000000"
"Third-person shooter","2.0000000000000000"
"Action-adventure, roguelike","2.0000000000000000"
"City-building game","2.0000000000000000"
"Graphic adventure","2.0000000000000000"
"Survival horror","2.0000000000000000"
"Action-adventure, stealth","1.80000000000000000000"
"Fighting","1.6000000000000000"
"RTS, 4X, Grand Strategy","1.50000000000000000000"
"Compilation","1.50000000000000000000"
"Role-playing game","1.3875000000000000"
"Action role-playing, hack and slash","1.20000000000000000000"
"Third-person shooter, survival horror","1.16666666666666666667"
"Maze, arcade","1.10000000000000000000"
"Action role-playing game","1.10000000000000000000"
"Puzzle","1.00000000000000000000"
"Visual novel, adventure","1.00000000000000000000"
"Interactive movie","1.00000000000000000000"
"Sports","1.00000000000000000000"
"Point-and-click","1.00000000000000000000"
"Space combat simulation","1.00000000000000000000"
"Beat 'em up, run-and-gun","1.00000000000000000000"
"Amateur flight simulation","1.00000000000000000000"
"Trivia game","1.00000000000000000000"
"Metroidvania","1.00000000000000000000"
"Action-adventure, platformer","1.00000000000000000000"
"Adventure","1.00000000000000000000"
"Real-time tactics","1.00000000000000000000"
"Business simulation","1.00000000000000000000"
"Rail shooter","1.00000000000000000000"
"Simulation, role-playing game","1.00000000000000000000"
"Grand strategy","1.00000000000000000000"
"Sim racing","1.00000000000000000000"
"Action","1.00000000000000000000"
"Platform","1.00000000000000000000"
"Graphic adventure, puzzle","1.00000000000000000000"
"Real-time strategy, grand strategy wargame","1.00000000000000000000"
"Interactive fiction","1.00000000000000000000"
"Action-adventure, Survival","1.00000000000000000000"
"Run and gun","1.00000000000000000000"
