"Developer","number_of_games"
"Blizzard Entertainment","8"
"Maxis","6"
"Paradox Development Studio","5"
"Valve","4"
"Westwood Studios","4"
"Ensemble Studios","4"
"id Software","4"
"CD Projekt Red","4"
"Capcom","4"
"System 3","3"
"Impressions Game","3"
"Firaxis Games","3"
"Illusion Softworks","3"
"FromSoftware","3"
"BioWare","3"
"PopTop Software","2"
"Gas Powered Games","2"
"MicroProse","2"
"Sierra Online","2"
"Blizzard North","2"
"Firefly Studios","2"
"EA DICE","2"
"Facepunch Studios","2"
"Bullfrog Productions","2"
"Bohemia Interactive","2"
"Max Design","2"
"SCS Software","2"
"Spike Chunsoft","2"
"Crytek","2"
"Ascaron","2"
"Epic Games","2"
"Haemimont Games","2"
"LucasArts","2"
"Frontier Developments","2"
"ArenaNet","2"
"Landfall Games","1"
"Technology and Entertainment Software","1"
"Cyan","1"
"Pterodon","1"
"Rockstar North","1"
"Softstar","1"
"Keen Software House","1"
"GSC Game World","1"
"Verant Interactive","1"
"Chris Sawyer","1"
"EA Los Angeles","1"
"Team Cherry","1"
"Arrowhead Game Studios","1"
"Warhorse Studios","1"
"Spectrum HoloByte","1"
"Softstar Entertainment","1"
"Mojang Studios","1"
"Irrational Games","1"
"Enlight Software","1"
"Re-Logic","1"
"Square","1"
"Introversion Software","1"
"Microsoft Game Studios","1"
"Iron Gate","1"
"Colossal Order","1"
"Dontnod Entertainment","1"
"3D Realms","1"
"Cavedog Entertainment","1"
"PUBG Studios","1"
"Wube Software","1"
"Endnight Games","1"
"Amanita Design","1"
"Heuristic Park","1"
"Lionhead Studios","1"
"StudioMDHR","1"
"Ubisoft","1"
"Triternion","1"
"Origin Systems","1"
"Crytek Budapest","1"
"Stainless Steel Studios","1"
"Microsoft","1"
"PlatinumGames","1"
"Mythic Entertainment","1"
"Studio Wildcard","1"
"Sunstorm Interactive","1"
"Mediatonic","1"
"Coffee Stain Studios","1"
"Sega","1"
"Daybreak Game Company","1"
"Electronic Arts","1"
"Rogue Entertainment","1"
"Péndulo Studios, S.L.","1"
"Data East","1"
"KnowWonder","1"
"Edmund McMillen & Florian Himsl","1"
"Bohemia Interactive Studio","1"
"Namco Bandai Games","1"
"The Creative Assembly","1"
"Galactic Cafe","1"
"Pyro Studios","1"
"Larian Studios","1"
"Kojima Productions","1"
"Infocom","1"
"Sony Online Entertainment","1"
"The Fun Pimps","1"
"ConcernedApe","1"
"Tripwire Interactive","1"
"Westwood Pacific","1"
"Relic Entertainment","1"
"Jellyvision","1"
"Double Fine Productions","1"
"SCE Cambridge Studio","1"
"Broderbund","1"
"Gray Matter Interactive","1"
